price_ref,mid,bid,ask,inventory,cash,equity,reason
115419.06,115401.535,,,0.0,0.0,0.0,risk_block
115419.06,115419.065,,,0.0,0.0,0.0,risk_block
115422.45,115425.03,,,0.0,0.0,0.0,risk_block
115434.41,115438.285,,,0.0,0.0,0.0,risk_block
115434.4,115434.405,,,0.0,0.0,0.0,risk_block
115444.53,115440.18,,,0.0,0.0,0.0,risk_block
115444.54,115444.535,,,0.0,0.0,0.0,risk_block
115438.05,115441.295,,,0.0,0.0,0.0,risk_block
115400.01,115419.03,,,0.0,0.0,0.0,risk_block
115389.35,115394.67499999999,,,0.0,0.0,0.0,risk_block
115386.57,115387.96,,,0.0,0.0,0.0,risk_block
115377.46,115382.02,,,0.0,0.0,0.0,risk_block
115367.46,115372.465,,,0.0,0.0,0.0,risk_block
115348.12,115357.795,,,0.0,0.0,0.0,risk_block
115328.56,115338.29000000001,,,0.0,0.0,0.0,risk_block
115315.34,115321.95000000001,,,0.0,0.0,0.0,risk_block
115348.63,115331.985,,,0.0,0.0,0.0,risk_block
115348.63,115348.63500000001,,,0.0,0.0,0.0,risk_block
115360.0,115354.315,,,0.0,0.0,0.0,risk_block
115360.0,115359.995,,,0.0,0.0,0.0,risk_block
115360.0,115359.995,,,0.0,0.0,0.0,risk_block
115360.0,115359.995,,,0.0,0.0,0.0,risk_block
115377.3,115368.65,,,0.0,0.0,0.0,risk_block
115377.31,115377.305,,,0.0,0.0,0.0,risk_block
115389.97,115383.63500000001,,,0.0,0.0,0.0,risk_block
115364.91,115382.45999999999,,,0.0,0.0,0.0,risk_block
115375.74,115360.41500000001,,,0.0,0.0,0.0,risk_block
115384.56,115366.18,,,0.0,0.0,0.0,risk_block
115387.28,115388.23000000001,,,0.0,0.0,0.0,risk_block
115387.28,115387.285,,,0.0,0.0,0.0,risk_block
115382.47,115399.335,,,0.0,0.0,0.0,risk_block
115398.64,115390.55,,,0.0,0.0,0.0,risk_block
115403.76,115401.20000000001,,,0.0,0.0,0.0,risk_block
115406.27,115405.015,,,0.0,0.0,0.0,risk_block
115407.33,115406.79999999999,,,0.0,0.0,0.0,risk_block
115407.34,115407.33499999999,,,0.0,0.0,0.0,risk_block
115421.71,115414.525,,,0.0,0.0,0.0,risk_block
115421.72,115421.715,,,0.0,0.0,0.0,risk_block
115434.68,115428.195,,,0.0,0.0,0.0,risk_block
115434.68,115434.67499999999,,,0.0,0.0,0.0,risk_block
115434.68,115434.67499999999,,,0.0,0.0,0.0,risk_block
115396.31,115415.48999999999,,,0.0,0.0,0.0,risk_block
115438.61,115417.455,,,0.0,0.0,0.0,risk_block
115438.6,115438.60500000001,,,0.0,0.0,0.0,risk_block
115438.61,115438.60500000001,,,0.0,0.0,0.0,risk_block
115438.6,115438.60500000001,,,0.0,0.0,0.0,risk_block
115438.61,115438.60500000001,,,0.0,0.0,0.0,risk_block
115438.6,115438.60500000001,,,0.0,0.0,0.0,risk_block
115489.31,115463.965,,,0.0,0.0,0.0,risk_block
115549.43,115519.375,,,0.0,0.0,0.0,risk_block
115515.43,115532.435,,,0.0,0.0,0.0,risk_block
115488.03,115501.73000000001,,,0.0,0.0,0.0,risk_block
115481.07,115484.55,,,0.0,0.0,0.0,risk_block
115430.01,115455.535,,,0.0,0.0,0.0,risk_block
115416.01,115423.005,,,0.0,0.0,0.0,risk_block
115416.0,115416.005,,,0.0,0.0,0.0,risk_block
115391.62,115403.815,,,0.0,0.0,0.0,risk_block
115455.33,115409.235,,,0.0,0.0,0.0,risk_block
115393.35,115424.33499999999,,,0.0,0.0,0.0,risk_block
115360.88,115373.39,,,0.0,0.0,0.0,risk_block
115343.17,115352.025,,,0.0,0.0,0.0,risk_block
115409.28,115383.755,,,0.0,0.0,0.0,risk_block
115417.99,115409.59,,,0.0,0.0,0.0,risk_block
115388.96,115398.25,,,0.0,0.0,0.0,risk_block
115368.04,115378.495,,,0.0,0.0,0.0,risk_block
115353.74,115355.48999999999,,,0.0,0.0,0.0,risk_block
115359.99,115356.87,,,0.0,0.0,0.0,risk_block
115375.35,115367.675,,,0.0,0.0,0.0,risk_block
115320.0,115347.68,,,0.0,0.0,0.0,risk_block
115266.56,115293.285,,,0.0,0.0,0.0,risk_block
115302.81,115285.785,,,0.0,0.0,0.0,risk_block
115333.88,115318.345,,,0.0,0.0,0.0,risk_block
115350.26,115356.94,,,0.0,0.0,0.0,risk_block
115379.31,115376.68,,,0.0,0.0,0.0,risk_block
115402.83,115391.715,,,0.0,0.0,0.0,risk_block
115402.84,115402.83499999999,,,0.0,0.0,0.0,risk_block
115391.92,115415.455,,,0.0,0.0,0.0,risk_block
115394.54,115406.445,,,0.0,0.0,0.0,risk_block
115345.2,115369.875,,,0.0,0.0,0.0,risk_block
115287.88,115316.54500000001,,,0.0,0.0,0.0,risk_block
115318.54,115303.215,,,0.0,0.0,0.0,risk_block
115344.75,115331.64499999999,,,0.0,0.0,0.0,risk_block
115374.64,115359.69,,,0.0,0.0,0.0,risk_block
115415.33,115394.985,,,0.0,0.0,0.0,risk_block
115407.3,115410.17,,,0.0,0.0,0.0,risk_block
115407.31,115407.305,,,0.0,0.0,0.0,risk_block
115385.06,115396.17499999999,,,0.0,0.0,0.0,risk_block
115265.21,115325.13500000001,,,0.0,0.0,0.0,risk_block
115305.85,115289.77,,,0.0,0.0,0.0,risk_block
115322.89,115314.37,,,0.0,0.0,0.0,risk_block
115304.05,115304.36,,,0.0,0.0,0.0,risk_block
115286.96,115298.715,,,0.0,0.0,0.0,risk_block
115265.27,115276.115,,,0.0,0.0,0.0,risk_block
115196.0,115230.64,,,0.0,0.0,0.0,risk_block
115234.8,115215.405,,,0.0,0.0,0.0,risk_block
